Date,Open,High,Low,Close,Adj Close,Volume
2021-02-02,6.550200,6.562400,6.435600,6.551800,6.551800,0
2021-02-03,6.459100,6.471600,6.394600,6.459100,6.459100,0
2021-02-04,6.442900,6.494700,6.411900,6.441300,6.441300,0
2021-02-05,6.489900,6.535300,6.427300,6.489100,6.489100,0
2021-02-08,6.476000,6.510800,6.390500,6.464400,6.464400,0
2021-02-09,6.461200,6.581400,6.435800,6.462800,6.462800,0
2021-02-10,6.511400,6.582700,6.495300,6.513300,6.513300,0
2021-02-11,6.523900,6.542300,6.474400,6.523300,6.523300,0
2021-02-12,6.506700,6.542100,6.485200,6.505600,6.505600,0
2021-02-15,6.504600,6.518000,6.490400,6.504600,6.504600,0
2021-02-16,6.512600,6.530900,6.490400,6.510700,6.510700,0
2021-02-17,6.489200,6.530100,6.453200,6.490800,6.490800,0
2021-02-18,6.514300,6.578000,6.496900,6.512400,6.512400,0
2021-02-19,6.558400,6.633500,6.506600,6.559400,6.559400,0
2021-02-22,6.562000,6.712900,6.505100,6.519100,6.519100,0
2021-02-23,6.646100,6.654100,6.577900,6.645900,6.645900,0
2021-02-24,6.606500,6.622200,6.551700,6.608100,6.608100,0
2021-02-25,6.574300,6.732300,6.569200,6.575900,6.575900,0
2021-02-26,6.722900,6.767300,6.651500,6.722600,6.722600,0
2021-03-01,6.757200,6.767000,6.675000,6.757200,6.757200,0
2021-03-02,6.791700,6.902300,6.762100,6.793400,6.793400,0
2021-03-03,6.855900,6.966700,6.835800,6.856200,6.856200,0
2021-03-04,6.766000,6.775700,6.683700,6.767700,6.767700,0
2021-03-05,6.781800,6.806100,6.745700,6.780100,6.780100,0
2021-03-08,6.740000,6.828700,6.740000,6.778600,6.778600,0
2021-03-09,6.958800,6.996100,6.890500,6.959100,6.959100,0
2021-03-10,6.899100,6.906800,6.744600,6.899900,6.899900,0
2021-03-11,6.760800,6.784000,6.633600,6.761100,6.761100,0
2021-03-12,6.631100,6.653700,6.589200,6.630300,6.630300,0
2021-03-15,6.567900,6.734200,6.567900,6.632900,6.632900,0
2021-03-16,6.694200,6.720100,6.615800,6.693600,6.693600,0
2021-03-17,6.691800,6.753000,6.680500,6.690100,6.690100,0
2021-03-18,6.685900,6.691500,6.538400,6.687000,6.687000,0
2021-03-19,6.621900,6.633000,6.490300,6.622700,6.622700,0
2021-03-22,6.530500,6.607700,6.514500,6.530500,6.530500,0
2021-03-23,6.568600,6.589100,6.496900,6.566700,6.566700,0
2021-03-24,6.534700,6.581400,6.496700,6.533100,6.533100,0
2021-03-25,6.637300,6.698800,6.624500,6.637600,6.637600,0
2021-03-26,6.650800,6.742900,6.609800,6.648800,6.648800,0
2021-03-29,6.786800,6.832700,6.750300,6.786800,6.786800,0
2021-03-30,6.802500,6.803300,6.719600,6.800700,6.800700,0
2021-03-31,6.763700,6.778400,6.622900,6.763400,6.763400,0
2021-04-01,6.601500,6.706600,6.586000,6.602400,6.602400,0
2021-04-02,6.719000,6.719000,6.719000,6.719000,6.719000,0
2021-04-05,6.719000,6.719000,6.700900,6.719000,6.719000,0
2021-04-06,6.700900,6.700900,6.636000,6.700900,6.700900,0
2021-04-07,6.663300,6.673500,6.604000,6.645800,6.645800,0
2021-04-08,6.661600,6.680500,6.623400,6.660700,6.660700,0
2021-04-09,6.631800,6.739900,6.592100,6.631300,6.631300,0
2021-04-12,6.757600,6.787600,6.705200,6.757600,6.757600,0
2021-04-13,6.824700,6.843900,6.761000,6.826400,6.826400,0
2021-04-14,6.831600,6.855500,6.778000,6.831800,6.831800,0
2021-04-15,6.772500,6.776400,6.697500,6.771900,6.771900,0
2021-04-16,6.719500,6.799100,6.702100,6.718600,6.718600,0
2021-04-19,6.708400,6.753400,6.659800,6.692400,6.692400,0
2021-04-20,6.676300,6.725200,6.629400,6.675700,6.675700,0
2021-04-21,6.699400,6.702400,6.663500,6.697700,6.697700,0
2021-04-22,6.701700,6.712500,6.581700,6.700000,6.700000,0
2021-04-23,6.539300,6.654900,6.537400,6.537400,6.537400,0
2021-04-26,6.539700,6.629100,6.539700,6.620900,6.620900,0
2021-04-27,6.562400,6.594200,6.543000,6.564300,6.564300,0
2021-04-28,6.586000,6.586000,6.510600,6.587900,6.587900,0
2021-04-29,6.479700,6.516600,6.466600,6.479400,6.479400,0
2021-04-30,6.469800,6.538400,6.423700,6.467900,6.467900,0
2021-05-03,6.531100,6.563800,6.478500,6.531100,6.531100,0
2021-05-04,6.553700,6.582800,6.523800,6.555300,6.555300,0
2021-05-05,6.538500,6.543600,6.434200,6.536800,6.536800,0
2021-05-06,6.425400,6.473400,6.336100,6.423700,6.423700,0
2021-05-07,6.364600,6.380400,6.314600,6.362500,6.362500,0
2021-05-10,6.344900,6.385000,6.322700,6.365300,6.365300,0
2021-05-11,6.336500,6.422100,6.328200,6.338300,6.338300,0
2021-05-12,6.328200,6.360300,6.299100,6.340000,6.340000,0
2021-05-13,6.401500,6.423400,6.352200,6.403400,6.403400,0
2021-05-14,6.405800,6.434200,6.372800,6.407400,6.407400,0
2021-05-17,6.398700,6.457900,6.375800,6.398700,6.398700,0
2021-05-18,6.405500,6.442400,6.381500,6.406300,6.406300,0
2021-05-19,6.426800,6.477400,6.397200,6.426300,6.426300,0
2021-05-20,6.458500,6.476800,6.444700,6.457700,6.457700,0
2021-05-21,6.456300,6.490600,6.426900,6.454700,6.454700,0
2021-05-24,6.529000,6.550200,6.488300,6.529000,6.529000,0
2021-05-25,6.496400,6.519500,6.485800,6.494300,6.494300,0
2021-05-26,6.528300,6.535000,6.455100,6.526700,6.526700,0
2021-05-27,6.472700,6.483300,6.412400,6.471700,6.471700,0
2021-05-28,6.382400,6.390800,6.344600,6.383900,6.383900,0
2021-05-31,6.355500,6.429300,6.338300,6.366000,6.366000,0
2021-06-01,6.377700,6.383700,6.292100,6.379300,6.379300,0
2021-06-02,6.290900,6.299700,6.187300,6.289300,6.289300,0
2021-06-03,6.192800,6.195600,6.151600,6.194300,6.194300,0
2021-06-04,6.153600,6.188100,6.124000,6.155600,6.155600,0
2021-06-07,6.124000,6.166100,6.109700,6.140800,6.140800,0
2021-06-08,6.147500,6.169300,6.112100,6.149000,6.149000,0
2021-06-09,6.128700,6.173500,6.115300,6.126400,6.126400,0
2021-06-10,6.160500,6.178200,6.115300,6.162300,6.162300,0
2021-06-11,6.152400,6.213400,6.118300,6.150900,6.150900,0
2021-06-14,6.190800,6.199200,6.127200,6.190800,6.190800,0
2021-06-15,6.127500,6.184800,6.106900,6.130600,6.130600,0
2021-06-16,6.113200,6.118800,6.045100,6.113700,6.113700,0
2021-06-17,6.058700,6.065800,5.966200,6.058200,6.058200,0
2021-06-18,5.962100,5.992700,5.912400,5.963600,5.963600,0
2021-06-21,6.034500,6.054100,5.986000,6.034500,6.034500,0
2021-06-22,5.968300,5.997300,5.946500,5.969800,5.969800,0
2021-06-23,5.916400,5.949400,5.902200,5.915700,5.915700,0
2021-06-24,5.921000,5.935900,5.861800,5.921500,5.921500,0
2021-06-25,5.859500,5.901600,5.846000,5.859000,5.859000,0
2021-06-28,5.846000,5.920500,5.846000,5.846000,5.846000,0
2021-06-29,5.870400,5.902900,5.840100,5.872200,5.872200,0
2021-06-30,5.895300,5.949700,5.868400,5.895000,5.895000,0
2021-07-01,5.887300,5.980000,5.873300,5.889000,5.889000,0
2021-07-02,5.974900,5.997100,5.908800,5.976400,5.976400,0
2021-07-05,5.945900,6.038500,5.945900,5.945900,5.945900,0
2021-07-06,6.037100,6.148100,6.003900,6.035600,6.035600,0
2021-07-07,6.138800,6.224500,6.114200,6.140400,6.140400,0
2021-07-08,6.166200,6.296500,6.117900,6.167700,6.167700,0
2021-07-09,6.226800,6.241300,6.211300,6.227400,6.227400,0
2021-07-12,6.211300,6.256600,6.152100,6.211300,6.211300,0
2021-07-13,6.135800,6.153700,6.085500,6.135300,6.135300,0
2021-07-14,6.076100,6.093300,5.988800,6.077100,6.077100,0
